Role,pensionFundId,int,0
Role,fromValidityDate,dateTime,1
Role,id,long,1
Role,tillValidityDate,dateTime,0
Person,name,string(50),0
Person,gender,string(5),0
Person,birthday,date,0
Person,pensionFundId,int,0
Person,fromValidityDate,dateTime,1
Person,id,long,1
Person,tillValidityDate,dateTime,0
SavingsAccount,amount,float,0
SavingsAccount,accountNumber,string(50),0
SavingsAccount,savingsAccountProduct,string(2),1
SavingsAccount,measuredAt,date,1
SavingsAccount,pensionFundId,int,0
SavingsAccount,fromValidityDate,dateTime,1
SavingsAccount,id,long,1
SavingsAccount,tillValidityDate,dateTime,0
ResidentialPeriod,livesAtFrom,date,0
ResidentialPeriod,livesAtTill,date,0
ResidentialPeriod,pensionFundId,int,0
ResidentialPeriod,fromValidityDate,dateTime,1
ResidentialPeriod,id,long,1
ResidentialPeriod,tillValidityDate,dateTime,0
Customer,customerNumber,string(50),0
Customer,customerMeasuredAt,date,0
Customer,totalSavingAmount,int,0
Customer,pensionFundId,int,0
Customer,fromValidityDate,dateTime,1
Customer,id,long,1
Customer,tillValidityDate,dateTime,0
WorkHistory,tillDate,date,0
WorkHistory,fromDate,date,0
WorkHistory,income,float,0
WorkHistory,pensionFundId,int,0
WorkHistory,fromValidityDate,dateTime,1
WorkHistory,id,long,1
WorkHistory,tillValidityDate,dateTime,0
Address,street,string(50),0
Address,pensionFundId,int,0
Address,fromValidityDate,dateTime,1
Address,id,long,1
Address,tillValidityDate,dateTime,0
Inlay,inlayDate,date,1
Inlay,product,string(2),1
Inlay,inlayAmount,float,0
Inlay,pensionFundId,int,0
Inlay,fromValidityDate,dateTime,1
Inlay,id,long,1
Inlay,tillValidityDate,dateTime,0
Employee,employeeId,string(50),0
Employee,pensionFundId,int,0
Employee,fromValidityDate,dateTime,1
Employee,id,long,1
Employee,tillValidityDate,dateTime,0
Employer,employerName,string(50),0
Employer,pensionFundId,int,0
Employer,fromValidityDate,dateTime,1
Employer,id,long,1
Employer,tillValidityDate,dateTime,0
connectedPhone,hasPhoneFromDate,date,1                
connectedPhone,hasPhoneTillDate,date,1                
connectedPhone,pensionFundId,number,0              
connectedPhone,fromValidityDate,timestamp,1           
connectedPhone,id,number,1             
connectedPhone,tillValidityDate,timestamp,0
contactPerson,subject,number,1              
contactPerson,pensionFundId,number,0              
contactPerson,fromValidityDate,timestamp,1           
contactPerson,id,number,1              
contactPerson,tillValidityDate,timestamp,0 
connectedEmail,hasEmailTillDate,date,1                
connectedEmail,hasEmailFromDate,date,1                
connectedEmail,pensionFundId,number,0              
connectedEmail,fromValidityDate,timestamp,1          
connectedEmail,id,number,1             
connectedEmail,tillValidityDate,timestamp,0
MobilePhone,validNumber,number,1              
MobilePhone,country,varchar2,1            
MobilePhone,phoneNumber,varchar2,1           
MobilePhone,pensionFundId,number,0             
MobilePhone,fromValidityDate,timestamp,1          
MobilePhone,id,number,1              
MobilePhone,tillValidityDate,timestamp,0
Email,valid,number,1             
Email,email,varchar2,1           
Email,pensionFundId,number,0              
Email,fromValidityDate,timestamp,1           
Email,id,number,1              
Email,tillValidityDate,timestamp,0
representive,representiveFromDate,date,0                
representive,representiveTillDate,date,0                
representive,pensionFundId,number,0             
representive,fromValidityDate,timestamp,1           
representive,id,number,1              
representive,tillValidityDate,timestamp,0
RelationShip,startOfRelation,date,0                
RelationShip,relationType,varchar2(255),1       
RelationShip,endOfRelation,date,0                
RelationShip,pensionFundId,number,0              
RelationShip,fromValidityDate,timestamp,0           
RelationShip,id,number,1             
RelationShip,tillValidityDate,timestamp,0     
link_Person_Role,Person_id,long,1
link_Person_Role,Role_id,long,1
link_ResidentialPeriod,ResidentialPeriod_id,long,1
link_ResidentialPeriod,Address_id,long,1
link_ResidentialPeriod,Person_id,long,1
link_WorkHistory,WorkHistory_id,long,1
link_WorkHistory,Employee_id,long,1
link_WorkHistory,Employer_id,long,1
link_connectedEmail,Person_id,long,1
link_connectedEmail,email_id,long,1
link_connectedEmail,connectedEmail_id,long,1
link_representive,representive_id,long,1
link_representive,contactPerson_id,long,1
link_representive,Employer_id,long,1
link_connectedPhone,connectedPhone_id,long,1
link_connectedPhone,MobilePhone_id,long,1
link_connectedPhone,Person_id,long,1
link_RelationShip,PersonTo_id,long,1
link_RelationShip,PersonFrom_id,long,1
link_RelationShip,RelationShip_id,long,1
